Load Number,Amount,SmartTrucker Date,Bank Deposit Date,Description
ETR13355,$125.00,,04/14/2025,ETR13355 Express 4x4 Truc
EF-59604,$80.00,,04/15/2025,EF-59604 Expedited Freigh
EF-159393,$80.00,,04/15/2025,EF-159393 Expedited Freigh
EF-60084,$170.00,,04/17/2025,EF-60084 Expedited Freigh
EF-60199,$80.00,,04/18/2025,EF-60199 Expedited Freigh
EF-60427,$80.00,,04/23/2025,EF-60427 Expedited Freigh
EF-61906,$70.00,,05/13/2025,EF-61906 Expedited Freigh
250603267,$250.00,,06/04/2025,250603267 ANEW TRANSPORT L
3039935708,$1287.53,,06/04/2025,VISA EJCPERFORMA 3039935708 CO ON 06-03 9160
EF-66048,$150.00,,07/03/2025,EF-66048 Expedited Freigh
EF-68703,$80.00,,07/31/2025,EF-68703 Expedited Freigh
EF-68984,$80.00,,07/31/2025,EF-68984 Expedited Freigh
EF-68786,$80.00,,07/31/2025,EF-68786 Expedited Freigh
EF-67783,$125.00,,07/31/2025,EF-67783D Expedited Freigh
EF-67522,$375.00,,07/31/2025,EF-67522 Expedited Freigh
EF-67522,$300.00,,08/01/2025,EF-67522D Expedited Freigh
EF-69285,$80.00,,08/05/2025,EF-69285 Expedited Freigh
EF-68985,$80.00,,08/06/2025,EF-68985 Expedited Freigh
EF-69429,$150.00,,08/06/2025,EF-69429 Expedited Freigh
EF-69595,$225.00,,08/07/2025,EF-69595 Expedited Freigh
EF-69274,$375.00,,08/07/2025,EF-69274 Expedited Freigh
EF-69808,$80.00,,08/08/2025,EF-69808 Expedited Freigh
EF-69611,$80.00,,08/08/2025,EF-69611 Expedited Freigh
EF-69610,$80.00,,08/08/2025,EF-69610 Expedited Freigh
250812322,$225.00,,08/13/2025,250812322 ANEW TRANSPORT L
EF-70230,$80.00,,08/18/2025,EF-70230 Expedited Freigh
EF-69271,$125.00,,08/18/2025,EF-69271 Expedited Freigh
250815258,$425.00,,08/18/2025,250815258 ANEW TRANSPORT L
250818222,$50.00,,08/19/2025,250818222 ANEW TRANSPORT L
250819282,$150.00,,08/20/2025,250819282 ANEW TRANSPORT L
EF-71514,$345.00,,08/27/2025,EF-71514 Expedited Freigh
EF-72298,$80.00,,08/29/2025,EF-72298 Expedited Freigh
EF-72236,$80.00,,09/02/2025,EF-72236 Expedited Freigh
EF-72146,$80.00,,09/02/2025,EF-72146 Expedited Freigh
EF-72127,$115.00,,09/02/2025,EF-72127 Expedited Freigh
EF-71165,$330.00,,09/02/2025,EF-71165D Expedited Freigh
EF-72992,$80.00,,09/09/2025,EF-72992 Expedited Freigh
EF-73032,$80.00,,09/10/2025,EF-73032 Expedited Freigh
EF-73134,$80.00,,09/10/2025,EF-73134 Expedited Freigh
EF-73423,$320.00,,09/12/2025,EF-73423 Expedited Freigh
EF-73445,$80.00,,09/15/2025,EF-73445 Expedited Freigh
EF-75093,$345.00,,09/29/2025,EF-75093 Expedited Freigh
251027231,$388.00,,10/28/2025,251027231 ANEW TRANSPORT L
251030372,$388.00,,10/31/2025,251030372 ANEW TRANSPORT L
