Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62503994,23-MAY-25,USD,240.00,10404580898	,3GPKHXRJ2RS535650 From DENVER CO 80234 To AURORA CO 80011 Operable,21-MAY-25,80.00,USD,,0.00,80.00,80.00,BASE,3GPKHXRJ2RS535650,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62503994,23-MAY-25,USD,240.00,10404580898	,3GPKHXRJ2RS535650 From DENVER CO 80234 To AURORA CO 80011 Operable,21-MAY-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,3GPKHXRJ2RS535650,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62503994,23-MAY-25,USD,240.00,10404375526	,KNDCC3LGXN5122809 From DENVER CO 80234 To AURORA CO 80011 Operable,21-MAY-25,80.00,USD,,0.00,80.00,80.00,BASE,KNDCC3LGXN5122809,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62503994,23-MAY-25,USD,240.00,10404375526	,KNDCC3LGXN5122809 From DENVER CO 80234 To AURORA CO 80011 Operable,21-MAY-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,KNDCC3LGXN5122809,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62503994,23-MAY-25,USD,240.00,10403162011	,1N4AA6FV7PC502509 From DENVER CO 80234 To AURORA CO 80011 Operable,21-MAY-25,80.00,USD,,0.00,80.00,80.00,BASE,1N4AA6FV7PC502509,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62503994,23-MAY-25,USD,240.00,10403162011	,1N4AA6FV7PC502509 From DENVER CO 80234 To AURORA CO 80011 Operable,21-MAY-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1N4AA6FV7PC502509,,,,,

