Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62544249,01-JUL-25,USD,393.05,10424758405	,3GNAXTEG4PS113564 From HENDERSON CO 80640 To AURORA CO 80011 Operable,30-JUN-25,100.00,USD,,0.00,100.00,100.00,BASE,3GNAXTEG4PS113564,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62544249,01-JUL-25,USD,393.05,10424758405	,3GNAXTEG4PS113564 From HENDERSON CO 80640 To AURORA CO 80011 Operable,30-JUN-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,3GNAXTEG4PS113564,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62544249,01-JUL-25,USD,393.05,10423792701	,5NPD84LF5HH019143 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,30-JUN-25,100.00,USD,,0.00,100.00,100.00,BASE,5NPD84LF5HH019143,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62544249,01-JUL-25,USD,393.05,10423792701	,5NPD84LF5HH019143 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,30-JUN-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,5NPD84LF5HH019143,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62544249,01-JUL-25,USD,393.05,10423989346_062425	,,24-JUN-25,50.00,USD,,0.00,50.00,50.00,,ZACCJBBT3GPD90321,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62544249,01-JUL-25,USD,393.05,10425452372	,KMHGN4JE4HU180987 From BRIGHTON CO 80603 To AURORA CO 80011 Inoperable,30-JUN-25,143.05,USD,,0.00,143.05,143.05,BASE,KMHGN4JE4HU180987,,,,,

