Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62561142,16-JUL-25,USD,240.00,10432053510	,5NMJCCAE3NH095622 From DENVER CO 80234 To AURORA CO 80011 Operable,14-JUL-25,80.00,USD,,0.00,80.00,80.00,BASE,5NMJCCAE3NH095622,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62561142,16-JUL-25,USD,240.00,10432053510	,5NMJCCAE3NH095622 From DENVER CO 80234 To AURORA CO 80011 Operable,14-JUL-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,5NMJCCAE3NH095622,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62561142,16-JUL-25,USD,240.00,10430111177	,3GPKHXRJ2RS507511 From DENVER CO 80234 To AURORA CO 80011 Operable,14-JUL-25,80.00,USD,,0.00,80.00,80.00,BASE,3GPKHXRJ2RS507511,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62561142,16-JUL-25,USD,240.00,10430111177	,3GPKHXRJ2RS507511 From DENVER CO 80234 To AURORA CO 80011 Operable,14-JUL-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,3GPKHXRJ2RS507511,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62561142,16-JUL-25,USD,240.00,10432965141	,3CZRZ2H57RM728752 From DENVER CO 80234 To AURORA CO 80011 Operable,14-JUL-25,80.00,USD,,0.00,80.00,80.00,BASE,3CZRZ2H57RM728752,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62561142,16-JUL-25,USD,240.00,10432965141	,3CZRZ2H57RM728752 From DENVER CO 80234 To AURORA CO 80011 Operable,14-JUL-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,3CZRZ2H57RM728752,,,,,

