Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62633650,16-SEP-25,USD,590.00,10464036709	,3GCUDFED8RG343524 From SAPULPA OK 74066 To OKLAHOMA CITY OK 73114 Operable,13-SEP-25,150.00,USD,,0.00,150.00,150.00,BASE,3GCUDFED8RG343524,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62633650,16-SEP-25,USD,590.00,10463492076	,1FMCU9GN4RUB38441 From HENDERSON CO 80640 To AURORA CO 80011 Operable,12-SEP-25,100.00,USD,,0.00,100.00,100.00,BASE,1FMCU9GN4RUB38441,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62633650,16-SEP-25,USD,590.00,10463492076	,1FMCU9GN4RUB38441 From HENDERSON CO 80640 To AURORA CO 80011 Operable,12-SEP-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,1FMCU9GN4RUB38441,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62633650,16-SEP-25,USD,590.00,10461821000	,WBA13FK05SCU31749 From HENDERSON CO 80640 To AURORA CO 80011 Operable,12-SEP-25,100.00,USD,,0.00,100.00,100.00,BASE,WBA13FK05SCU31749,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62633650,16-SEP-25,USD,590.00,10461821000	,WBA13FK05SCU31749 From HENDERSON CO 80640 To AURORA CO 80011 Operable,12-SEP-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,WBA13FK05SCU31749,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62633650,16-SEP-25,USD,590.00,10465247056	,JF2GTHMCXP8312333 From DENVER CO 80234 To AURORA CO 80011 Operable,13-SEP-25,80.00,USD,,0.00,80.00,80.00,BASE,JF2GTHMCXP8312333,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62633650,16-SEP-25,USD,590.00,10465247056	,JF2GTHMCXP8312333 From DENVER CO 80234 To AURORA CO 80011 Operable,13-SEP-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,JF2GTHMCXP8312333,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62633650,16-SEP-25,USD,590.00,10464402280	,1N4AZ1BV3SC564712 From DENVER CO 80234 To AURORA CO 80011 Operable,13-SEP-25,80.00,USD,,0.00,80.00,80.00,BASE,1N4AZ1BV3SC564712,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62633650,16-SEP-25,USD,590.00,10464402280	,1N4AZ1BV3SC564712 From DENVER CO 80234 To AURORA CO 80011 Operable,13-SEP-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1N4AZ1BV3SC564712,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62633650,16-SEP-25,USD,590.00,10464598881	,W1KCG4EB5NA022772 From WESTMINSTER CO 80020 To AURORA CO 80011 Operable,13-SEP-25,80.00,USD,,0.00,80.00,80.00,BASE,W1KCG4EB5NA022772,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62633650,16-SEP-25,USD,590.00,10464598881	,W1KCG4EB5NA022772 From WESTMINSTER CO 80020 To AURORA CO 80011 Operable,13-SEP-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,W1KCG4EB5NA022772,,,,,

