Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62456365,15-APR-25,USD,641.87,10386204787	,SALWR2SU3LA718337 From ENGLEWOOD CO 80112 To AURORA CO 80011 Operable,14-APR-25,77.69,USD,,0.00,77.69,77.69,BASE,SALWR2SU3LA718337,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62456365,15-APR-25,USD,641.87,10384944061	,1C4HJXDG5MW631815 From ENGLEWOOD CO 80112 To AURORA CO 80011 Operable,14-APR-25,77.69,USD,,0.00,77.69,77.69,BASE,1C4HJXDG5MW631815,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62456365,15-APR-25,USD,641.87,10384943847	,1C4RJKDG0N8503589 From ENGLEWOOD CO 80112 To AURORA CO 80011 Operable,14-APR-25,77.69,USD,,0.00,77.69,77.69,BASE,1C4RJKDG0N8503589,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62456365,15-APR-25,USD,641.87,10384220107	,JTKKU4B49AJ052624 From ERIE CO 80516 To AURORA CO 80011 Operable,14-APR-25,80.00,USD,,0.00,80.00,80.00,BASE,JTKKU4B49AJ052624,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62456365,15-APR-25,USD,641.87,10384220107	,JTKKU4B49AJ052624 From ERIE CO 80516 To AURORA CO 80011 Operable,14-APR-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,JTKKU4B49AJ052624,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62456365,15-APR-25,USD,641.87,10386353381	,LPSED3KA1NL059574 From LITTLETON CO 80121 To AURORA CO 80011 Operable,14-APR-25,77.69,USD,,0.00,77.69,77.69,BASE,LPSED3KA1NL059574,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62456365,15-APR-25,USD,641.87,10383763593	,1FBNE3BL6DDA49903 From PARKER CO 80134 To AURORA CO 80011 Operable,11-APR-25,93.82,USD,,0.00,93.82,93.82,BASE,1FBNE3BL6DDA49903,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62456365,15-APR-25,USD,641.87,10385462908	,4T3D6RFV5NU066103 From PARKER CO 80134 To AURORA CO 80011 Operable,11-APR-25,79.60,USD,,0.00,79.60,79.60,BASE,4T3D6RFV5NU066103,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62456365,15-APR-25,USD,641.87,10384765267	,2FMPK4J92PBA19490 From CENTENNIAL CO 80112 To AURORA CO 80011 Operable,11-APR-25,77.69,USD,,0.00,77.69,77.69,BASE,2FMPK4J92PBA19490,,,,,

