Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62647407,27-SEP-25,USD,225.00,10471044071	,1FTEW1EGXGKE46221 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,25-SEP-25,125.00,USD,,0.00,125.00,125.00,BASE,1FTEW1EGXGKE46221,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62647407,27-SEP-25,USD,225.00,10471044071	,1FTEW1EGXGKE46221 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,25-SEP-25,125.00,USD,,0.00,125.00,0.00,Fuel Surcharge Per Mile,1FTEW1EGXGKE46221,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62647407,27-SEP-25,USD,225.00,10469119880	,1FM5K8D88DGB39624 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,25-SEP-25,100.00,USD,,0.00,100.00,100.00,BASE,1FM5K8D88DGB39624,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62647407,27-SEP-25,USD,225.00,10469119880	,1FM5K8D88DGB39624 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,25-SEP-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,1FM5K8D88DGB39624,,,,,

