Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62521524,07-JUN-25,USD,400.00,10412584204	,1N4CZ1CV4SC563771 From DENVER CO 80234 To AURORA CO 80011 Operable,05-JUN-25,80.00,USD,,0.00,80.00,80.00,BASE,1N4CZ1CV4SC563771,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62521524,07-JUN-25,USD,400.00,10412584204	,1N4CZ1CV4SC563771 From DENVER CO 80234 To AURORA CO 80011 Operable,05-JUN-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1N4CZ1CV4SC563771,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62521524,07-JUN-25,USD,400.00,10412584260	,1N4AZ1BV2SC557928 From DENVER CO 80234 To AURORA CO 80011 Operable,05-JUN-25,80.00,USD,,0.00,80.00,80.00,BASE,1N4AZ1BV2SC557928,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62521524,07-JUN-25,USD,400.00,10412584260	,1N4AZ1BV2SC557928 From DENVER CO 80234 To AURORA CO 80011 Operable,05-JUN-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1N4AZ1BV2SC557928,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62521524,07-JUN-25,USD,400.00,10411536594	,KNDETCA71R7477759 From DENVER CO 80234 To AURORA CO 80011 Operable,05-JUN-25,80.00,USD,,0.00,80.00,80.00,BASE,KNDETCA71R7477759,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62521524,07-JUN-25,USD,400.00,10411536594	,KNDETCA71R7477759 From DENVER CO 80234 To AURORA CO 80011 Operable,05-JUN-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,KNDETCA71R7477759,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62521524,07-JUN-25,USD,400.00,10414882098	,JM3TCBAY1P0659016 From THORNTON CO 80233 To AURORA CO 80011 Operable,05-JUN-25,80.00,USD,,0.00,80.00,80.00,BASE,JM3TCBAY1P0659016,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62521524,07-JUN-25,USD,400.00,10414882098	,JM3TCBAY1P0659016 From THORNTON CO 80233 To AURORA CO 80011 Operable,05-JUN-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,JM3TCBAY1P0659016,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62521524,07-JUN-25,USD,400.00,10411300491	,5N1AT3BBXMC818539 From DENVER CO 80234 To AURORA CO 80011 Operable,05-JUN-25,80.00,USD,,0.00,80.00,80.00,BASE,5N1AT3BBXMC818539,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62521524,07-JUN-25,USD,400.00,10411300491	,5N1AT3BBXMC818539 From DENVER CO 80234 To AURORA CO 80011 Operable,05-JUN-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,5N1AT3BBXMC818539,,,,,

