Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62531438,18-JUN-25,USD,225.00,10416619381	,ZACNJBC12LPL07166 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,17-JUN-25,100.00,USD,,0.00,100.00,100.00,BASE,ZACNJBC12LPL07166,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62531438,18-JUN-25,USD,225.00,10416619381	,ZACNJBC12LPL07166 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,17-JUN-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,ZACNJBC12LPL07166,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62531438,18-JUN-25,USD,225.00,10417047255	,1FTEX1EP3LKD96690 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,17-JUN-25,125.00,USD,,0.00,125.00,125.00,BASE,1FTEX1EP3LKD96690,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62531438,18-JUN-25,USD,225.00,10417047255	,1FTEX1EP3LKD96690 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,17-JUN-25,125.00,USD,,0.00,125.00,0.00,Fuel Surcharge Per Mile,1FTEX1EP3LKD96690,,,,,

