Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62473835,29-APR-25,USD,671.99,10382615377_041525	,,15-APR-25,25.00,USD,,0.00,25.00,25.00,,1N6ED1EKXRN622144,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62473835,29-APR-25,USD,671.99,10394100079	,1GT49XEY5RF389386 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,28-APR-25,125.00,USD,,0.00,125.00,125.00,BASE,1GT49XEY5RF389386,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62473835,29-APR-25,USD,671.99,10394100079	,1GT49XEY5RF389386 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,28-APR-25,125.00,USD,,0.00,125.00,0.00,Fuel Surcharge Per Mile,1GT49XEY5RF389386,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62473835,29-APR-25,USD,671.99,10384785160_041525	,,15-APR-25,25.00,USD,,0.00,25.00,25.00,,1C4RJHBG9RC203655,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62473835,29-APR-25,USD,671.99,10391613012	,1FTSW2BR2AEB29330 From BRIGHTON CO 80603 To AURORA CO 80011 Inoperable,28-APR-25,166.99,USD,,0.00,166.99,166.99,BASE,1FTSW2BR2AEB29330,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62473835,29-APR-25,USD,671.99,10392931250	,1GCHSCEA0N1233040 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,25-APR-25,100.00,USD,,0.00,100.00,100.00,BASE,1GCHSCEA0N1233040,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62473835,29-APR-25,USD,671.99,10392931250	,1GCHSCEA0N1233040 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,25-APR-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,1GCHSCEA0N1233040,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62473835,29-APR-25,USD,671.99,10392149898	,1C4SDJCT8RC100531 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,25-APR-25,100.00,USD,,0.00,100.00,100.00,BASE,1C4SDJCT8RC100531,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62473835,29-APR-25,USD,671.99,10392149898	,1C4SDJCT8RC100531 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,25-APR-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,1C4SDJCT8RC100531,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62473835,29-APR-25,USD,671.99,10387263320_041825	,,18-APR-25,50.00,USD,,0.00,50.00,50.00,,5N1DR3CD3PC271601,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62473835,29-APR-25,USD,671.99,10394584425	,1N6ED1EK7PN615195 From DENVER CO 80234 To AURORA CO 80011 Operable,26-APR-25,80.00,USD,,0.00,80.00,80.00,BASE,1N6ED1EK7PN615195,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62473835,29-APR-25,USD,671.99,10394584425	,1N6ED1EK7PN615195 From DENVER CO 80234 To AURORA CO 80011 Operable,26-APR-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1N6ED1EK7PN615195,,,,,

