Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62541075,26-JUN-25,USD,420.00,10421486689	,3GNKDBRJXRS216360 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,24-JUN-25,100.00,USD,,0.00,100.00,100.00,BASE,3GNKDBRJXRS216360,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62541075,26-JUN-25,USD,420.00,10421486689	,3GNKDBRJXRS216360 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,24-JUN-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,3GNKDBRJXRS216360,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62541075,26-JUN-25,USD,420.00,10423025570	,WDBJF65J31B206666 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,24-JUN-25,80.00,USD,,0.00,80.00,80.00,BASE,WDBJF65J31B206666,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62541075,26-JUN-25,USD,420.00,10423025570	,WDBJF65J31B206666 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,24-JUN-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,WDBJF65J31B206666,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62541075,26-JUN-25,USD,420.00,10417558161	,ZN661XUA8NX387039 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,25-JUN-25,80.00,USD,,0.00,80.00,80.00,BASE,ZN661XUA8NX387039,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62541075,26-JUN-25,USD,420.00,10417558161	,ZN661XUA8NX387039 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,25-JUN-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,ZN661XUA8NX387039,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62541075,26-JUN-25,USD,420.00,10422995250	,YV4ED3GM2P2027927 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,25-JUN-25,80.00,USD,,0.00,80.00,80.00,BASE,YV4ED3GM2P2027927,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62541075,26-JUN-25,USD,420.00,10422995250	,YV4ED3GM2P2027927 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,25-JUN-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,YV4ED3GM2P2027927,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62541075,26-JUN-25,USD,420.00,10422386626	,JM3KKCHA8S1203529 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,25-JUN-25,80.00,USD,,0.00,80.00,80.00,BASE,JM3KKCHA8S1203529,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62541075,26-JUN-25,USD,420.00,10422386626	,JM3KKCHA8S1203529 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,25-JUN-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,JM3KKCHA8S1203529,,,,,

