Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62580157,31-JUL-25,USD,200.00,10440797752	,1V2MR2CAXJC525671 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,30-JUL-25,100.00,USD,,0.00,100.00,100.00,BASE,1V2MR2CAXJC525671,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62580157,31-JUL-25,USD,200.00,10440797752	,1V2MR2CAXJC525671 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,30-JUL-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,1V2MR2CAXJC525671,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62580157,31-JUL-25,USD,200.00,10440502164	,KNDCR3LE2R5144354 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,30-JUL-25,100.00,USD,,0.00,100.00,100.00,BASE,KNDCR3LE2R5144354,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62580157,31-JUL-25,USD,200.00,10440502164	,KNDCR3LE2R5144354 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,30-JUL-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,KNDCR3LE2R5144354,,,,,

