Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491710,14-MAY-25,USD,550.00,10393668337	,1FT8X3B62BEC42411 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,12-MAY-25,150.00,USD,,0.00,150.00,150.00,BASE,1FT8X3B62BEC42411,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491710,14-MAY-25,USD,550.00,10393668337	,1FT8X3B62BEC42411 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,12-MAY-25,150.00,USD,,0.00,150.00,0.00,Fuel Surcharge Per Mile,1FT8X3B62BEC42411,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491710,14-MAY-25,USD,550.00,10392916292	,1FT8X3B68BEC42414 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,12-MAY-25,150.00,USD,,0.00,150.00,150.00,BASE,1FT8X3B68BEC42414,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491710,14-MAY-25,USD,550.00,10392916292	,1FT8X3B68BEC42414 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,12-MAY-25,150.00,USD,,0.00,150.00,0.00,Fuel Surcharge Per Mile,1FT8X3B68BEC42414,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491710,14-MAY-25,USD,550.00,10398747764	,1FT8X3B67EEA00301 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,13-MAY-25,100.00,USD,,0.00,100.00,100.00,BASE,1FT8X3B67EEA00301,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491710,14-MAY-25,USD,550.00,10398747764	,1FT8X3B67EEA00301 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,13-MAY-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,1FT8X3B67EEA00301,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491710,14-MAY-25,USD,550.00,10398493352	,1FT8X3B65BEC42435 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,13-MAY-25,150.00,USD,,0.00,150.00,150.00,BASE,1FT8X3B65BEC42435,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491710,14-MAY-25,USD,550.00,10398493352	,1FT8X3B65BEC42435 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,13-MAY-25,150.00,USD,,0.00,150.00,0.00,Fuel Surcharge Per Mile,1FT8X3B65BEC42435,,,,,

