Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10381535259	,1C4PJMBX8MD239582 From GOLDEN CO 80401 To AURORA CO 80011 Operable,08-APR-25,75.72,USD,,0.00,75.72,75.72,BASE,1C4PJMBX8MD239582,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10385592488	,1GCHTCEA9M1253878 From CENTENNIAL CO 80112 To AURORA CO 80011 Operable,09-APR-25,77.69,USD,,0.00,77.69,77.69,BASE,1GCHTCEA9M1253878,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10381535283	,1GCHTCEA1L1163588 From CENTENNIAL CO 80112 To AURORA CO 80011 Operable,08-APR-25,77.69,USD,,0.00,77.69,77.69,BASE,1GCHTCEA1L1163588,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10385592493	,1GCHTCEA9M1237826 From CENTENNIAL CO 80112 To AURORA CO 80011 Operable,09-APR-25,77.69,USD,,0.00,77.69,77.69,BASE,1GCHTCEA9M1237826,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10381534907	,1GCHTCEA6L1181875 From CENTENNIAL CO 80112 To AURORA CO 80011 Operable,08-APR-25,77.69,USD,,0.00,77.69,77.69,BASE,1GCHTCEA6L1181875,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10383616088	,1C4RJFAG0MC845468 From ENGLEWOOD CO 80112 To AURORA CO 80011 Operable,08-APR-25,77.69,USD,,0.00,77.69,77.69,BASE,1C4RJFAG0MC845468,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10383025613	,3FA6P0HD5HR365871 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,09-APR-25,100.00,USD,,0.00,100.00,100.00,BASE,3FA6P0HD5HR365871,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10383025613	,3FA6P0HD5HR365871 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,09-APR-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,3FA6P0HD5HR365871,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10385592492	,1GCHTCEA9M1237728 From CENTENNIAL CO 80112 To AURORA CO 80011 Operable,09-APR-25,77.69,USD,,0.00,77.69,77.69,BASE,1GCHTCEA9M1237728,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10385592495	,1GCHTCEA2M1238008 From CENTENNIAL CO 80112 To AURORA CO 80011 Operable,09-APR-25,77.69,USD,,0.00,77.69,77.69,BASE,1GCHTCEA2M1238008,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10382355998	,1C4RJFDJ4CC317678 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,09-APR-25,100.00,USD,,0.00,100.00,100.00,BASE,1C4RJFDJ4CC317678,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10382355998	,1C4RJFDJ4CC317678 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,09-APR-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,1C4RJFDJ4CC317678,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10385592472	,1GCHTCEA0L1181502 From CENTENNIAL CO 80112 To AURORA CO 80011 Operable,09-APR-25,77.69,USD,,0.00,77.69,77.69,BASE,1GCHTCEA0L1181502,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10383878981	,5TDKDRAH6PS016815 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,09-APR-25,100.00,USD,,0.00,100.00,100.00,BASE,5TDKDRAH6PS016815,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10383878981	,5TDKDRAH6PS016815 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,09-APR-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,5TDKDRAH6PS016815,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10382264342	,2T3F1RFV9PC327227 From LAKEWOOD CO 80401 To AURORA CO 80011 Operable,09-APR-25,75.72,USD,,0.00,75.72,75.72,BASE,2T3F1RFV9PC327227,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62451446,10-APR-25,USD,1148.68,10381955516	,2C4RC1N70NR202411 From GOLDEN CO 80401 To AURORA CO 80011 Operable,09-APR-25,75.72,USD,,0.00,75.72,75.72,BASE,2C4RC1N70NR202411,,,,,

