Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62442799,03-APR-25,USD,311.04,10378112699	,2C3HD56G32H309196 From CENTENNIAL CO 80015 To AURORA CO 80011 Operable,01-APR-25,80.00,USD,,0.00,80.00,80.00,BASE,2C3HD56G32H309196,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62442799,03-APR-25,USD,311.04,10381595043	,5N1BT3CA9PC942767 From LAKEWOOD CO 80401 To AURORA CO 80011 Operable,02-APR-25,75.72,USD,,0.00,75.72,75.72,BASE,5N1BT3CA9PC942767,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62442799,03-APR-25,USD,311.04,10378497578	,JM3KFBCM0M0487716 From PARKER CO 80134 To AURORA CO 80011 Operable,01-APR-25,79.60,USD,,0.00,79.60,79.60,BASE,JM3KFBCM0M0487716,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62442799,03-APR-25,USD,311.04,10381489370	,1N4BL4DV4RN366935 From LAKEWOOD CO 80401 To AURORA CO 80011 Operable,02-APR-25,75.72,USD,,0.00,75.72,75.72,BASE,1N4BL4DV4RN366935,,,,,

