Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62439952,02-APR-25,USD,620.90,10376981121	,JTEDP21A760097475 From NORTHGLENN CO 80234 To AURORA CO 80011 Operable,31-MAR-25,80.00,USD,,0.00,80.00,80.00,BASE,JTEDP21A760097475,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62439952,02-APR-25,USD,620.90,10376981121	,JTEDP21A760097475 From NORTHGLENN CO 80234 To AURORA CO 80011 Operable,31-MAR-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,JTEDP21A760097475,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62439952,02-APR-25,USD,620.90,10376094502	,5FNYF8H61NB004267 From BROOMFIELD CO 80023 To AURORA CO 80011 Operable,31-MAR-25,80.00,USD,,0.00,80.00,80.00,BASE,5FNYF8H61NB004267,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62439952,02-APR-25,USD,620.90,10376094502	,5FNYF8H61NB004267 From BROOMFIELD CO 80023 To AURORA CO 80011 Operable,31-MAR-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,5FNYF8H61NB004267,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62439952,02-APR-25,USD,620.90,10374717056	,2C4RDGBG5ER268568 From BRIGHTON CO 80603 To AURORA CO 80011 Inoperable,31-MAR-25,155.90,USD,,0.00,155.90,155.90,BASE,2C4RDGBG5ER268568,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62439952,02-APR-25,USD,620.90,10376315909	,3A8FY58BX8T229928 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,01-APR-25,100.00,USD,,0.00,100.00,100.00,BASE,3A8FY58BX8T229928,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62439952,02-APR-25,USD,620.90,10376315909	,3A8FY58BX8T229928 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,01-APR-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,3A8FY58BX8T229928,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62439952,02-APR-25,USD,620.90,10377117604	,1GCHK29U85E124087 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,01-APR-25,125.00,USD,,0.00,125.00,125.00,BASE,1GCHK29U85E124087,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62439952,02-APR-25,USD,620.90,10377117604	,1GCHK29U85E124087 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,01-APR-25,125.00,USD,,0.00,125.00,0.00,Fuel Surcharge Per Mile,1GCHK29U85E124087,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62439952,02-APR-25,USD,620.90,10377066316	,SALYJ2EU4MA314072 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,31-MAR-25,80.00,USD,,0.00,80.00,80.00,BASE,SALYJ2EU4MA314072,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62439952,02-APR-25,USD,620.90,10377066316	,SALYJ2EU4MA314072 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,31-MAR-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,SALYJ2EU4MA314072,,,,,

