Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62656154,04-OCT-25,USD,480.00,10472096954	,1FMUK8DH7SGC10725 From ERIE CO 80516 To AURORA CO 80011 Operable,03-OCT-25,80.00,USD,,0.00,80.00,80.00,BASE,1FMUK8DH7SGC10725,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62656154,04-OCT-25,USD,480.00,10472096954	,1FMUK8DH7SGC10725 From ERIE CO 80516 To AURORA CO 80011 Operable,03-OCT-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1FMUK8DH7SGC10725,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62656154,04-OCT-25,USD,480.00,10473296386	,1FTCR10A9VUB50013 From NORTHGLENN CO 80234 To AURORA CO 80011 Operable,03-OCT-25,80.00,USD,,0.00,80.00,80.00,BASE,1FTCR10A9VUB50013,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62656154,04-OCT-25,USD,480.00,10473296386	,1FTCR10A9VUB50013 From NORTHGLENN CO 80234 To AURORA CO 80011 Operable,03-OCT-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1FTCR10A9VUB50013,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62656154,04-OCT-25,USD,480.00,10473296417	,1HGCM56495A069605 From NORTHGLENN CO 80234 To AURORA CO 80011 Operable,03-OCT-25,80.00,USD,,0.00,80.00,80.00,BASE,1HGCM56495A069605,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62656154,04-OCT-25,USD,480.00,10473296417	,1HGCM56495A069605 From NORTHGLENN CO 80234 To AURORA CO 80011 Operable,03-OCT-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1HGCM56495A069605,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62656154,04-OCT-25,USD,480.00,10474718730	,1N4CZ1CV5RC556886 From DENVER CO 80234 To AURORA CO 80011 Operable,03-OCT-25,80.00,USD,,0.00,80.00,80.00,BASE,1N4CZ1CV5RC556886,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62656154,04-OCT-25,USD,480.00,10474718730	,1N4CZ1CV5RC556886 From DENVER CO 80234 To AURORA CO 80011 Operable,03-OCT-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1N4CZ1CV5RC556886,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62656154,04-OCT-25,USD,480.00,10473744256	,YV4ED3UM7P2965281 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,03-OCT-25,80.00,USD,,0.00,80.00,80.00,BASE,YV4ED3UM7P2965281,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62656154,04-OCT-25,USD,480.00,10473744256	,YV4ED3UM7P2965281 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,03-OCT-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,YV4ED3UM7P2965281,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62656154,04-OCT-25,USD,480.00,10473979201	,JN1DF0BB1PM702137 From DENVER CO 80234 To AURORA CO 80011 Operable,03-OCT-25,80.00,USD,,0.00,80.00,80.00,BASE,JN1DF0BB1PM702137,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62656154,04-OCT-25,USD,480.00,10473979201	,JN1DF0BB1PM702137 From DENVER CO 80234 To AURORA CO 80011 Operable,03-OCT-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,JN1DF0BB1PM702137,,,,,

