Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62487613,09-MAY-25,USD,258.93,10397101445	,2D4GP44L97R312696 From WESTMINSTER CO 80234 To AURORA CO 80011 Operable,08-MAY-25,80.00,USD,,0.00,80.00,80.00,BASE,2D4GP44L97R312696,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62487613,09-MAY-25,USD,258.93,10397101445	,2D4GP44L97R312696 From WESTMINSTER CO 80234 To AURORA CO 80011 Operable,08-MAY-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,2D4GP44L97R312696,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62487613,09-MAY-25,USD,258.93,10397107028	,1C4HJXDG1NW132480 From ARVADA CO 80005 To AURORA CO 80011 Operable,08-MAY-25,78.93,USD,,0.00,78.93,78.93,BASE,1C4HJXDG1NW132480,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62487613,09-MAY-25,USD,258.93,10396451486	,5TFLA5DB2NX018999 From NORTHGLENN CO 80233 To AURORA CO 80011 Operable,08-MAY-25,100.00,USD,,0.00,100.00,100.00,BASE,5TFLA5DB2NX018999,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62487613,09-MAY-25,USD,258.93,10396451486	,5TFLA5DB2NX018999 From NORTHGLENN CO 80233 To AURORA CO 80011 Operable,08-MAY-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,5TFLA5DB2NX018999,,,,,

