Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62666703,15-OCT-25,USD,520.00,10474200800_100825	,,08-OCT-25,20.00,USD,,0.00,20.00,20.00,,W1KCG2EB1PA037454,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62666703,15-OCT-25,USD,520.00,10477687830	,1C6SRFHP0SN590328 From DENVER CO 80234 To AURORA CO 80011 Operable,13-OCT-25,100.00,USD,,0.00,100.00,100.00,BASE,1C6SRFHP0SN590328,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62666703,15-OCT-25,USD,520.00,10477687830	,1C6SRFHP0SN590328 From DENVER CO 80234 To AURORA CO 80011 Operable,13-OCT-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,1C6SRFHP0SN590328,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62666703,15-OCT-25,USD,520.00,10478465594	,1N4AZ1BV4RC551641 From DENVER CO 80234 To AURORA CO 80011 Operable,13-OCT-25,80.00,USD,,0.00,80.00,80.00,BASE,1N4AZ1BV4RC551641,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62666703,15-OCT-25,USD,520.00,10478465594	,1N4AZ1BV4RC551641 From DENVER CO 80234 To AURORA CO 80011 Operable,13-OCT-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1N4AZ1BV4RC551641,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62666703,15-OCT-25,USD,520.00,10479796832	,1N4AZ1BVXRC551109 From DENVER CO 80234 To AURORA CO 80011 Operable,13-OCT-25,80.00,USD,,0.00,80.00,80.00,BASE,1N4AZ1BVXRC551109,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62666703,15-OCT-25,USD,520.00,10479796832	,1N4AZ1BVXRC551109 From DENVER CO 80234 To AURORA CO 80011 Operable,13-OCT-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1N4AZ1BVXRC551109,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62666703,15-OCT-25,USD,520.00,10478343160	,5XYK3CDF4RG186133 From DENVER CO 80234 To AURORA CO 80011 Operable,10-OCT-25,80.00,USD,,0.00,80.00,80.00,BASE,5XYK3CDF4RG186133,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62666703,15-OCT-25,USD,520.00,10478343160	,5XYK3CDF4RG186133 From DENVER CO 80234 To AURORA CO 80011 Operable,10-OCT-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,5XYK3CDF4RG186133,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62666703,15-OCT-25,USD,520.00,10477652053	,KNDC3DLC4R5211736 From DENVER CO 80234 To AURORA CO 80011 Operable,10-OCT-25,80.00,USD,,0.00,80.00,80.00,BASE,KNDC3DLC4R5211736,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62666703,15-OCT-25,USD,520.00,10477652053	,KNDC3DLC4R5211736 From DENVER CO 80234 To AURORA CO 80011 Operable,10-OCT-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,KNDC3DLC4R5211736,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62666703,15-OCT-25,USD,520.00,10477937107	,1C4RJKBG4R8549662 From THORNTON CO 80233 To AURORA CO 80011 Operable,10-OCT-25,80.00,USD,,0.00,80.00,80.00,BASE,1C4RJKBG4R8549662,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62666703,15-OCT-25,USD,520.00,10477937107	,1C4RJKBG4R8549662 From THORNTON CO 80233 To AURORA CO 80011 Operable,10-OCT-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1C4RJKBG4R8549662,,,,,

