Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62613370,28-AUG-25,USD,240.00,10456357498	,1C6JJTAG6ML573933 From DENVER CO 80234 To AURORA CO 80011 Operable,26-AUG-25,80.00,USD,,0.00,80.00,80.00,BASE,1C6JJTAG6ML573933,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62613370,28-AUG-25,USD,240.00,10456357498	,1C6JJTAG6ML573933 From DENVER CO 80234 To AURORA CO 80011 Operable,26-AUG-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1C6JJTAG6ML573933,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62613370,28-AUG-25,USD,240.00,10456499911	,1N4AZ1BV0SC564652 From DENVER CO 80234 To AURORA CO 80011 Operable,26-AUG-25,80.00,USD,,0.00,80.00,80.00,BASE,1N4AZ1BV0SC564652,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62613370,28-AUG-25,USD,240.00,10456499911	,1N4AZ1BV0SC564652 From DENVER CO 80234 To AURORA CO 80011 Operable,26-AUG-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1N4AZ1BV0SC564652,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62613370,28-AUG-25,USD,240.00,10455812078	,1C4HJXEN6MW821927 From DENVER CO 80234 To AURORA CO 80011 Operable,26-AUG-25,80.00,USD,,0.00,80.00,80.00,BASE,1C4HJXEN6MW821927,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62613370,28-AUG-25,USD,240.00,10455812078	,1C4HJXEN6MW821927 From DENVER CO 80234 To AURORA CO 80011 Operable,26-AUG-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1C4HJXEN6MW821927,,,,,

