Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62614138,29-AUG-25,USD,273.74,10456532884	,1FTBR1C86LKA44664 From DENVER CO 80223 To AURORA CO 80011 Operable,27-AUG-25,134.37,USD,,0.00,134.37,134.37,BASE,1FTBR1C86LKA44664,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62614138,29-AUG-25,USD,273.74,10456531730	,1FTBR1C89LKA44612 From DENVER CO 80223 To AURORA CO 80011 Operable,27-AUG-25,134.37,USD,,0.00,134.37,134.37,BASE,1FTBR1C89LKA44612,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62614138,29-AUG-25,USD,273.74,10450881211_082125	,,21-AUG-25,5.00,USD,,0.00,5.00,5.00,,3TMLU4EN2EM136129,,,,,

