Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62610634,27-AUG-25,USD,240.00,10456499427	,1N4AZ1BV5SC558281 From DENVER CO 80234 To AURORA CO 80011 Operable,26-AUG-25,80.00,USD,,0.00,80.00,80.00,BASE,1N4AZ1BV5SC558281,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62610634,27-AUG-25,USD,240.00,10456499427	,1N4AZ1BV5SC558281 From DENVER CO 80234 To AURORA CO 80011 Operable,26-AUG-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1N4AZ1BV5SC558281,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62610634,27-AUG-25,USD,240.00,10454042459	,1N4CZ1CV8SC558220 From DENVER CO 80234 To AURORA CO 80011 Operable,26-AUG-25,80.00,USD,,0.00,80.00,80.00,BASE,1N4CZ1CV8SC558220,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62610634,27-AUG-25,USD,240.00,10454042459	,1N4CZ1CV8SC558220 From DENVER CO 80234 To AURORA CO 80011 Operable,26-AUG-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1N4CZ1CV8SC558220,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62610634,27-AUG-25,USD,240.00,10455252536	,1N4BL4FWXNN400330 From DENVER CO 80234 To AURORA CO 80011 Operable,26-AUG-25,80.00,USD,,0.00,80.00,80.00,BASE,1N4BL4FWXNN400330,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62610634,27-AUG-25,USD,240.00,10455252536	,1N4BL4FWXNN400330 From DENVER CO 80234 To AURORA CO 80011 Operable,26-AUG-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1N4BL4FWXNN400330,,,,,

