Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62604335,21-AUG-25,USD,503.05,10450881211	,3TMLU4EN2EM136129 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,19-AUG-25,100.00,USD,,0.00,100.00,100.00,BASE,3TMLU4EN2EM136129,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62604335,21-AUG-25,USD,503.05,10450881211	,3TMLU4EN2EM136129 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,19-AUG-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,3TMLU4EN2EM136129,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62604335,21-AUG-25,USD,503.05,10450848017	,2GKFLVE3XG6107242 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,19-AUG-25,100.00,USD,,0.00,100.00,100.00,BASE,2GKFLVE3XG6107242,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62604335,21-AUG-25,USD,503.05,10450848017	,2GKFLVE3XG6107242 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,19-AUG-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,2GKFLVE3XG6107242,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62604335,21-AUG-25,USD,503.05,10451324751	,KM8S2DA16MU005926 From WESTMINSTER CO 80234 To AURORA CO 80011 Operable,20-AUG-25,80.00,USD,,0.00,80.00,80.00,BASE,KM8S2DA16MU005926,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62604335,21-AUG-25,USD,503.05,10451324751	,KM8S2DA16MU005926 From WESTMINSTER CO 80234 To AURORA CO 80011 Operable,20-AUG-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,KM8S2DA16MU005926,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62604335,21-AUG-25,USD,503.05,10451323070	,KM8K33AG0NU150523 From WESTMINSTER CO 80234 To AURORA CO 80011 Operable,20-AUG-25,80.00,USD,,0.00,80.00,80.00,BASE,KM8K33AG0NU150523,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62604335,21-AUG-25,USD,503.05,10451323070	,KM8K33AG0NU150523 From WESTMINSTER CO 80234 To AURORA CO 80011 Operable,20-AUG-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,KM8K33AG0NU150523,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62604335,21-AUG-25,USD,503.05,10450881256	,1G1ZD5ST0LF107348 From BRIGHTON CO 80603 To AURORA CO 80011 Inoperable,20-AUG-25,143.05,USD,,0.00,143.05,143.05,BASE,1G1ZD5ST0LF107348,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62604335,21-AUG-25,USD,503.05,10450881256	,1G1ZD5ST0LF107348 From BRIGHTON CO 80603 To AURORA CO 80011 Inoperable,20-AUG-25,143.05,USD,,0.00,143.05,0.00,Fuel Surcharge Per Mile,1G1ZD5ST0LF107348,,,,,

