Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62502333,22-MAY-25,USD,400.00,10406828060	,1FAHP2E85HG137775 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,21-MAY-25,100.00,USD,,0.00,100.00,100.00,BASE,1FAHP2E85HG137775,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62502333,22-MAY-25,USD,400.00,10406828060	,1FAHP2E85HG137775 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,21-MAY-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,1FAHP2E85HG137775,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62502333,22-MAY-25,USD,400.00,10406624075	,2C4RC1CG3NR105030 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,21-MAY-25,100.00,USD,,0.00,100.00,100.00,BASE,2C4RC1CG3NR105030,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62502333,22-MAY-25,USD,400.00,10406624075	,2C4RC1CG3NR105030 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,21-MAY-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,2C4RC1CG3NR105030,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62502333,22-MAY-25,USD,400.00,10405089406	,1FMCU9G66LUB82375 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,21-MAY-25,100.00,USD,,0.00,100.00,100.00,BASE,1FMCU9G66LUB82375,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62502333,22-MAY-25,USD,400.00,10405089406	,1FMCU9G66LUB82375 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,21-MAY-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,1FMCU9G66LUB82375,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62502333,22-MAY-25,USD,400.00,10406827249	,5FNYF6H55HB067548 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,21-MAY-25,100.00,USD,,0.00,100.00,100.00,BASE,5FNYF6H55HB067548,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62502333,22-MAY-25,USD,400.00,10406827249	,5FNYF6H55HB067548 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,21-MAY-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,5FNYF6H55HB067548,,,,,

