Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62597956,15-AUG-25,USD,300.00,10448282564	,KM8J2CA42KU935741 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,14-AUG-25,100.00,USD,,0.00,100.00,100.00,BASE,KM8J2CA42KU935741,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62597956,15-AUG-25,USD,300.00,10448282564	,KM8J2CA42KU935741 From BRIGHTON CO 80603 To AURORA CO 80011 Operable,14-AUG-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,KM8J2CA42KU935741,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62597956,15-AUG-25,USD,300.00,10446406721	,1C6SRFMT5MN727091 From THORNTON CO 80241 To AURORA CO 80011 Operable,13-AUG-25,100.00,USD,,0.00,100.00,100.00,BASE,1C6SRFMT5MN727091,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62597956,15-AUG-25,USD,300.00,10446406721	,1C6SRFMT5MN727091 From THORNTON CO 80241 To AURORA CO 80011 Operable,13-AUG-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,1C6SRFMT5MN727091,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62597956,15-AUG-25,USD,300.00,10447909090	,3GNTKGE3XBG110143 From LAFAYETTE CO 80026 To AURORA CO 80011 Operable,13-AUG-25,100.00,USD,,0.00,100.00,100.00,BASE,3GNTKGE3XBG110143,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62597956,15-AUG-25,USD,300.00,10447909090	,3GNTKGE3XBG110143 From LAFAYETTE CO 80026 To AURORA CO 80011 Operable,13-AUG-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,3GNTKGE3XBG110143,,,,,

