Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62620231,04-SEP-25,USD,493.74,10456531166	,1FTBR1C86LKA44535 From DENVER CO 80223 To AURORA CO 80011 Operable,02-SEP-25,134.37,USD,,0.00,134.37,134.37,BASE,1FTBR1C86LKA44535,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62620231,04-SEP-25,USD,493.74,10456730980	,1C6SRFKP7SN568724 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,03-SEP-25,125.00,USD,,0.00,125.00,125.00,BASE,1C6SRFKP7SN568724,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62620231,04-SEP-25,USD,493.74,10456730980	,1C6SRFKP7SN568724 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,03-SEP-25,125.00,USD,,0.00,125.00,0.00,Fuel Surcharge Per Mile,1C6SRFKP7SN568724,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62620231,04-SEP-25,USD,493.74,10458866010	,ZARFANBN8R7684965 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,03-SEP-25,100.00,USD,,0.00,100.00,100.00,BASE,ZARFANBN8R7684965,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62620231,04-SEP-25,USD,493.74,10458866010	,ZARFANBN8R7684965 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,03-SEP-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,ZARFANBN8R7684965,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62620231,04-SEP-25,USD,493.74,10456533427	,1FTBR1C87LKA62350 From DENVER CO 80223 To AURORA CO 80011 Operable,02-SEP-25,134.37,USD,,0.00,134.37,134.37,BASE,1FTBR1C87LKA62350,,,,,

