Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491137,13-MAY-25,USD,1049.20,10401985970	,ZACNDFBN6P3A02062 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,10-MAY-25,100.00,USD,,0.00,100.00,100.00,BASE,ZACNDFBN6P3A02062,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491137,13-MAY-25,USD,1049.20,10401985970	,ZACNDFBN6P3A02062 From BRIGHTON CO 80601 To AURORA CO 80011 Operable,10-MAY-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,ZACNDFBN6P3A02062,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491137,13-MAY-25,USD,1049.20,10397787050	,5NTJEDAF3PH054990 From WESTMINSTER CO 80234 To AURORA CO 80011 Operable,10-MAY-25,80.00,USD,,0.00,80.00,80.00,BASE,5NTJEDAF3PH054990,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491137,13-MAY-25,USD,1049.20,10397787050	,5NTJEDAF3PH054990 From WESTMINSTER CO 80234 To AURORA CO 80011 Operable,10-MAY-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,5NTJEDAF3PH054990,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491137,13-MAY-25,USD,1049.20,10399665740	,2FMPK4G95LBA88689 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,12-MAY-25,80.00,USD,,0.00,80.00,80.00,BASE,2FMPK4G95LBA88689,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491137,13-MAY-25,USD,1049.20,10399665740	,2FMPK4G95LBA88689 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,12-MAY-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,2FMPK4G95LBA88689,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491137,13-MAY-25,USD,1049.20,10401985352	,ZN661XUA5NX382347 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,12-MAY-25,80.00,USD,,0.00,80.00,80.00,BASE,ZN661XUA5NX382347,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491137,13-MAY-25,USD,1049.20,10401985352	,ZN661XUA5NX382347 From BROOMFIELD CO 80020 To AURORA CO 80011 Operable,12-MAY-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,ZN661XUA5NX382347,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491137,13-MAY-25,USD,1049.20,10401137374	,JN1CF0BB0PM709415 From DENVER CO 80234 To AURORA CO 80011 Operable,10-MAY-25,80.00,USD,,0.00,80.00,80.00,BASE,JN1CF0BB0PM709415,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62491137,13-MAY-25,USD,1049.20,10401137374	,JN1CF0BB0PM709415 From DENVER CO 80234 To AURORA CO 80011 Operable,10-MAY-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,JN1CF0BB0PM709415,,,,,
