Supplier Name,Supplier #,Supplier Site,Payment Number,Payment Date,Payment Currency,Payment Amount,Invoice Number,Invoice Description,Invoice Date,Invoice Amount,Invoice Currency,Inv Amount Withheld,Inv Discount Taken,Inv Amount Paid,Line Amount,Line Description,VIN,Work Order,PO #,Contractor,Week Ending,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62548488,03-JUL-25,USD,260.00,10425638402	,JN1DF0BB6PM703459 From DENVER CO 80234 To AURORA CO 80011 Operable,01-JUL-25,80.00,USD,,0.00,80.00,80.00,BASE,JN1DF0BB6PM703459,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62548488,03-JUL-25,USD,260.00,10425638402	,JN1DF0BB6PM703459 From DENVER CO 80234 To AURORA CO 80011 Operable,01-JUL-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,JN1DF0BB6PM703459,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62548488,03-JUL-25,USD,260.00,10424981506	,1GTRUBEK1PZ256249 From THORNTON CO 80234 To AURORA CO 80011 Operable,01-JUL-25,100.00,USD,,0.00,100.00,100.00,BASE,1GTRUBEK1PZ256249,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62548488,03-JUL-25,USD,260.00,10424981506	,1GTRUBEK1PZ256249 From THORNTON CO 80234 To AURORA CO 80011 Operable,01-JUL-25,100.00,USD,,0.00,100.00,0.00,Fuel Surcharge Per Mile,1GTRUBEK1PZ256249,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62548488,03-JUL-25,USD,260.00,10424371808	,1N4AZ1BV9SC562074 From DENVER CO 80234 To AURORA CO 80011 Operable,01-JUL-25,80.00,USD,,0.00,80.00,80.00,BASE,1N4AZ1BV9SC562074,,,,,
S PROVISIONS LLC - CO,95744,RDY-CO-AURORA-1,62548488,03-JUL-25,USD,260.00,10424371808	,1N4AZ1BV9SC562074 From DENVER CO 80234 To AURORA CO 80011 Operable,01-JUL-25,80.00,USD,,0.00,80.00,0.00,Fuel Surcharge Per Mile,1N4AZ1BV9SC562074,,,,,

