Load #,Company,Amount Paid,Date Paid
RN37635A,RCG,$75.00,4/16
RN37637A,RCG,$75.00,4/16
RN39638A,RCG,$75.00,4/16
12752505,Acertus,$85.00,4/16
12735265,Acertus,$85.00,4/16
RN40459A,RCG,$75.00,4/21
RN40458A,RCG,$75.00,4/21
RN40457A,RCG,$105.00,4/21
10384697358,Ready,$100.00,4/1/2025
82163358,United,$160.00,4/21
10385883553,Ready,$80.00,4/1/2025
10388714193,Ready,$80.00,4/1/2025
RN43199A,RCG,$75.00,4/16
RN43198A,RCG,$75.00,4/21
RN43197A,RCG,$75.00,4/21
10387520185,Ready,$100.00,4/1/2025
633200,Preowned,$100.00,
10387532481,Ready,$75.00,4/1/2025
12932061,Acertus,$115.00,
12947643,Acertus,$100.00,
10390244403,Ready,$80.00,4/24
10393488795,Ready,$80.00,4/24
10392371272,Ready,$137.38,4/1/2025
12963425,Acertus,$100.00,
RN48804A,RCG,$105.00,
RN48806A,RCG,$75.00,
RN48803A,RCG,$75.00,
RN37640A,RCG,$75.00,
634068,Preowned,$120.00,
RN48802A,RCG,$75.00,
RN48805A,RCG,$75.00,
82322579,United,$75.00,
82329038,United,$80.00,
RN50625A,RCG,$75.00,
RN51312A,RCG,$75.00,
RN51311A,RCG,$75.00,
RN51313A,RCG,$75.00,
10395195995,Ready,$80.00,4/1/2025
10393213729,Ready,$80.00,4/1/2025
82415274,United,$160.00,
82401498,United,$80.00,
82401425,United,$80.00,
20575933,United,$75.00,
112563,Carvana,$75.00,
RM91970A,RCG,$75.00,3/6
RM93204A,RCG,$75.00,3/6
RM93815A,RCG,$75.00,3/6
RM93206A,RCG,$75.00,3/6
RM93202A,RCG,$75.00,3/6
RM93205A,RCG,$75.00,3/6
RM94379A,RCG,$75.00,3/7
10364704445,Ready,$75.00,3/5??
RM93248A,RCG,$75.00,3/7
RM93243A,RCG,$75.00,3/7
RM96587A,RCG,$75.00,3/12
RM96581A,RCG,$75.00,3/12
RM96584A,RCG,$75.00,3/12
RM96576A,RCG,$75.00,3/12
RM96580A,RCG,$75.00,3/12
RM96589A,RCG,$75.00,3/12
RM96574A,RCG,$75.00,3/12
RM96594A,RCG,$75.00,3/12
RM96577A,RCG,$75.00,3/12
RM96582A,RCG,$75.00,3/12
RM96592A,RCG,$75.00,3/12
RM96588A,RCG,$75.00,3/12
RM97315A,RCG,$75.00,3/13
RM96585A,RCG,$75.00,3/13
RM96573A,RCG,$75.00,3/13
RM96590A,RCG,$75.00,3/13
RM96579A,RCG,$75.00,3/13
RM96591A,RCG,$75.00,3/13
RM98110A,RCG,$75.00,
RM98112A,RCG,$75.00,
RM98111A,RCG,$75.00,
RM98113A,RCG,$75.00,
RM99504A,RCG,$75.00,
RM99499A,RCG,$75.00,
RM99495A,RCG,$75.00,
RM99496A,RCG,$75.00,
RM99500A,RCG,$75.00,
RM99502A,RCG,$75.00,
RM99498A,RCG,$75.00,
RM99497A,RCG,$75.00,
RM99501A,RCG,$75.00,
RN10165A,RCG,$75.00,
RN10818A,RCG,$75.00,
